Suspeito,id_campo,Data,Setor,LON,LAT
"0","1",10/01/2024,"6","-42.029158","-22.970312"
"0","2",10/01/2024,"6","-42.029010","-22.972554"
"1","4",10/01/2024,"2","-42.027987","-22.973004"
"0","5",10/01/2024,"6","-42.028142","-22.972077"
"0","6",10/01/2024,"6","-42.029851","-22.972532"
"0","7",10/01/2024,"4","-42.031034","-22.969786"
"0","8",10/01/2024,"4","-42.031052","-22.969811"
"0","9",10/01/2024,"4","-42.031004","-22.969797"
"0","10",10/01/2024,"4","-42.031033","-22.969843"
"0","11",10/01/2024,"4","-42.028812","-22.969813"
"0","12",10/01/2024,"6","-42.029737","-22.969950"
"0","13",10/01/2024,"4","-42.028260","-22.969438"
"0","14",10/01/2024,"5","-42.024744","-22.969478"
"0","15",10/01/2024,"5","-42.024690","-22.969705"
"1","16",10/01/2024,"7","-42.021429","-22.969804"
"0","17",10/01/2024,"4","-42.028009","-22.969884"
"0","18",10/01/2024,"6","-42.028111","-22.969933"
"0","19",10/01/2024,"6","-42.027424","-22.970624"
"0","20",10/01/2024,"6","-42.027408","-22.971013"
"0","21",10/01/2024,"6","-42.027553","-22.971413"
"0","22",10/01/2024,"6","-42.026998","-22.972363"
"0","23",10/01/2024,"6","-42.027149","-22.972591"
"0","24",10/01/2024,"6","-42.026817","-22.972552"
"0","25",10/01/2024,"6","-42.026522","-22.972222"
"0","26",10/01/2024,"6","-42.026536","-22.972360"
"0","27",10/01/2024,"6","-42.026390","-22.971872"
"0","28",10/01/2024,"6","-42.026562","-22.971739"
"0","29",10/01/2024,"7","-42.025097","-22.971556"
"0","30",10/01/2024,"7","-42.024691","-22.971357"
"0","31",10/01/2024,"7","-42.024619","-22.971405"
"0","32",10/01/2024,"7","-42.023031","-22.971419"
"0","33",10/01/2024,"7","-42.022684","-22.971691"
"0","34",10/01/2024,"7","-42.022131","-22.971738"
"0","35",10/01/2024,"7","-42.022145","-22.971821"
"0","36",10/01/2024,"7","-42.020766","-22.970980"
"0","37",10/01/2024,"7","-42.020959","-22.970717"
"1","38",10/01/2024,"7","-42.021114","-22.970715"
"1","39",10/01/2024,"7","-42.021078","-22.970662"
"0","40",10/01/2024,"7","-42.021122","-22.970394"
"1","41",10/01/2024,"7","-42.020371","-22.970256"
"0","42",10/01/2024,"3","-42.021564","-22.972753"
"0","43",10/01/2024,"3","-42.021607","-22.972852"
"0","44",10/01/2024,"3","-42.021646","-22.972961"
"0","45",10/01/2024,"3","-42.021686","-22.973060"
"0","46",10/01/2024,"3","-42.021970","-22.972654"
"0","47",10/01/2024,"3","-42.023160","-22.972773"
"0","48",10/01/2024,"3","-42.023260","-22.972780"
"0","49",10/01/2024,"3","-42.023344","-22.972637"
"0","50",10/01/2024,"3","-42.024147","-22.973201"
"1","51",10/01/2024,"3","-42.025062","-22.972769"
"0","52",10/01/2024,"3","-42.025154","-22.972700"
"0","53",10/01/2024,"3","-42.025631","-22.972785"
"0","54",10/01/2024,"3","-42.025800","-22.972704"
"1","55",10/01/2024,"2","-42.026416","-22.973140"
"0","56",10/01/2024,"2","-42.027128","-22.973044"
"0","57",10/01/2024,"2","-42.027832","-22.973201"
"1","58",10/01/2024,"2","-42.027829","-22.973289"
"0","59",10/01/2024,"2","-42.028000","-22.973175"
"0","60",10/01/2024,"2","-42.028110","-22.973234"
"0","61",10/01/2024,"2","-42.030203","-22.972954"
"0","62",10/01/2024,"6","-42.030492","-22.972634"
"0","63",10/01/2024,"6","-42.031025","-22.972124"
"1","64",10/01/2024,"6","-42.031108","-22.972319"
"0","65",10/01/2024,"6","-42.030997","-22.971864"
"0","66",10/01/2024,"6","-42.030906","-22.971171"
"0","67",10/01/2024,"6","-42.030718","-22.971639"
"0","68",10/01/2024,"6","-42.031038","-22.970112"
"0","69",10/01/2024,"6","-42.031060","-22.970282"
"0","70",10/01/2024,"6","-42.031059","-22.970357"
"1","71",10/01/2024,"6","-42.030145","-22.972065"
"0","72",10/01/2024,"6","-42.029061","-22.972338"
"1","73",10/01/2024,"6","-42.028763","-22.972089"
"1","74",10/01/2024,"6","-42.028686","-22.971681"
"1","75",10/01/2024,"6","-42.029613","-22.970674"
"0","77",10/01/2024,"6","-42.029912","-22.971110"
"0","78",10/01/2024,"6","-42.029766","-22.970924"
"0","79",10/01/2024,"2","-42.029552","-22.973173"
"0","80",10/01/2024,"7","-42.025361","-22.971008"
"0","81",10/01/2024,"7","-42.024994","-22.971054"
"1","82",10/01/2024,"7","-42.024794","-22.971085"
"0","83",10/01/2024,"2","-42.028197","-22.972878"
"0","84",10/01/2024,"7","-42.024272","-22.970941"
"0","85",10/01/2024,"7","-42.024426","-22.970875"
"0","86",10/01/2024,"7","-42.024482","-22.970908"
"1","87",10/01/2024,"7","-42.024169","-22.970515"
"0","88",10/01/2024,"7","-42.024085","-22.970260"
"0","89",10/01/2024,"7","-42.024509","-22.970240"
"0","90",10/01/2024,"7","-42.023632","-22.970585"
"1","91",10/01/2024,"7","-42.023463","-22.970040"
"1","92",10/01/2024,"5","-42.023089","-22.969505"
"0","93",30/01/2024,"5","-42.022021","-22.969567"
"0","94",30/01/2024,"7","-42.022746","-22.970551"
"0","95",30/01/2024,"7","-42.022728","-22.971249"
"0","96",30/01/2024,"7","-42.021615","-22.972014"
"0","97",30/01/2024,"7","-42.023006","-22.972414"
"0","98",30/01/2024,"7","-42.023085","-22.972348"
"0","99",30/01/2024,"7","-42.023407","-22.972149"
"0","100",30/01/2024,"6","-42.026961","-22.970841"
"0","101",30/01/2024,"6","-42.026690","-22.970862"
"0","102",30/01/2024,"6","-42.026603","-22.970640"
"0","103",30/01/2024,"6","-42.026301","-22.970840"
"0","104",30/01/2024,"6","-42.026342","-22.970959"
"0","105",30/01/2024,"7","-42.025818","-22.971293"
"0","106",30/01/2024,"7","-42.025688","-22.971473"
"0","107",30/01/2024,"7","-42.023324","-22.971356"
"1","108",30/01/2024,"7","-42.023728","-22.971020"
"0","109",30/01/2024,"7","-42.021970","-22.971308"
"1","110",30/01/2024,"7","-42.025433","-22.972411"
"0","111",30/01/2024,"7","-42.025485","-22.972238"
"0","112",30/01/2024,"7","-42.021089","-22.969847"
"0","113",30/01/2024,"7","-42.024463","-22.971683"
"0","114",30/01/2024,"7","-42.026062","-22.970548"
"0","115",30/01/2024,"2","-42.028191","-22.973936"
"0","116",30/01/2024,"2","-42.028873","-22.973976"
"0","117",30/01/2024,"2","-42.028649","-22.973767"
"0","118",30/01/2024,"2","-42.030466","-22.973679"
"0","119",30/01/2024,"2","-42.030698","-22.973876"
"1","120",30/01/2024,"2","-42.030888","-22.973761"
"0","121",30/01/2024,"2","-42.030552","-22.974127"
"0","122",30/01/2024,"2","-42.030395","-22.974611"
"0","123",30/01/2024,"2","-42.029629","-22.974894"
"0","124",30/01/2024,"2","-42.029343","-22.975030"
"0","125",30/01/2024,"2","-42.029287","-22.975140"
"1","126",30/01/2024,"2","-42.030049","-22.975064"
"0","127",30/01/2024,"2","-42.030671","-22.974936"
"0","128",30/01/2024,"2","-42.030719","-22.974681"
"0","129",30/01/2024,"2","-42.030886","-22.974987"
"0","130",30/01/2024,"2","-42.028370","-22.974623"
"0","131",30/01/2024,"2","-42.027703","-22.974594"
"0","132",30/01/2024,"2","-42.027139","-22.974665"
"0","133",30/01/2024,"2","-42.027709","-22.975247"
"0","134",30/01/2024,"3","-42.026041","-22.974930"
"0","135",30/01/2024,"3","-42.025712","-22.975005"
